arm,bg_bound_ok,bg_max_abs_err,bg_psnr_db,bin_factor,cmp_gbs,compressed_bytes,cr,dataset,dec_gbs,eb_bg,eb_roi,frame,global_max_abs_err,global_psnr_db,half_width,npeaks,roi_bound_ok,roi_frac_pct,roi_max_abs_err,roi_pixels,roi_psnr_db,status,tuning,value_range
roibin_b1,1,999.9996948242188,32.19465406306915,1,91.760944,149152,61.60051491096331,EXAFEL,88.290281,1000.0,10.0,exafel_f016,999.9996948242188,32.23403025983173,4,256,1,0.9027584285316245,9.9998779296875,20736,69.05864952147755,ok,,16282.23046875
roibin_b2,n/a,8391.35546875,32.06744223726318,2,120.99453,47840,192.05351170568562,EXAFEL,100.99191,1000.0,10.0,exafel_f016,8391.35546875,32.1068186691471,4,256,1,0.9027584285316245,9.9998779296875,20736,69.05864952147755,ok,,16282.23046875
cuszhi,1,10.0,69.00279074300977,1,26.23208432785537,1481904,6.20002375322558,EXAFEL,26.880119833356737,1000.0,10.0,exafel_f016,10.0,69.00266092014279,4,256,1,0.9027584285316245,9.999664306640625,20736,68.98843359822494,ok,spline/cr-first/cr,16282.23046875
pfpl,1,9.99993896484375,69.02229656699325,1,175.50122249388752,1693486,5.425400623329629,EXAFEL,160.62657342657343,1000.0,10.0,exafel_f016,9.99993896484375,69.02262338894988,4,256,1,0.9027584285316245,9.9998779296875,20736,69.05864952147755,ok,,16282.23046875
cuszp3,1,9.99993896484375,69.02229656699325,1,134.92482,1731872,5.305149572254763,EXAFEL,133.17255,1000.0,10.0,exafel_f016,9.99993896484375,69.02262338894988,4,256,1,0.9027584285316245,9.9998779296875,20736,69.05864952147755,ok,,16282.23046875
roibin_b1,1,999.9085083007812,38.01022827441594,1,93.069693,60560,151.71466314398944,EXAFEL,89.029454,1000.0,10.0,exafel_f017,999.9085083007812,38.03519228494564,4,163,1,0.573627751462803,9.998764038085938,13176,68.97762960567414,ok,,16194.9248046875
roibin_b2,n/a,5975.91650390625,37.97712618888049,2,119.98328,27840,330.02298850574715,EXAFEL,104.14218,1000.0,10.0,exafel_f017,5975.91650390625,38.00209035167085,4,163,1,0.573627751462803,9.998764038085938,13176,68.97762960567414,ok,,16194.9248046875
cuszhi,1,10.0,68.95863704720364,1,26.476780542627846,1327729,6.919966348554562,EXAFEL,28.283504900753584,1000.0,10.0,exafel_f017,10.0,68.9588060225004,4,163,1,0.573627751462803,9.99908447265625,13176,68.98819413430705,ok,spline/cr-first/cr,16194.9248046875
pfpl,1,10.0,69.10391477682151,1,175.3404580152672,1530457,6.003331031188724,EXAFEL,161.75774647887323,1000.0,10.0,exafel_f017,10.0,69.10317979716136,4,163,1,0.573627751462803,9.998764038085938,13176,68.97762960567414,ok,,16194.9248046875
cuszp3,1,10.0,69.10391477682151,1,136.33428,1575120,5.833104779318401,EXAFEL,133.4821,1000.0,10.0,exafel_f017,10.0,69.10317979716136,4,163,1,0.573627751462803,9.998764038085938,13176,68.97762960567414,ok,,16194.9248046875
roibin_b1,1,999.8063354492188,40.33464240969084,1,94.915703,50288,182.7044225262488,EXAFEL,93.402736,1000.0,10.0,exafel_f018,999.8063354492188,40.349448936707034,4,97,1,0.3408853441069936,9.99713134765625,7830,68.39364520429064,ok,,15125.8369140625
roibin_b2,n/a,8228.609375,40.31685527820778,2,116.57329,21520,426.9442379182156,EXAFEL,108.55199,1000.0,10.0,exafel_f018,8228.609375,40.33166190015444,4,97,1,0.3408853441069936,9.99713134765625,7830,68.39364520429064,ok,,15125.8369140625
cuszhi,1,9.999984741210938,68.36611346781093,1,26.800261940077558,1252760,7.334078354992177,EXAFEL,28.737864077669904,1000.0,10.0,exafel_f018,9.999984741210938,68.36617302788108,4,97,1,0.3408853441069936,9.999931335449219,7830,68.38362075932746,ok,spline/cr-first/cr,15125.8369140625
pfpl,1,9.999980926513672,68.65052689197415,1,176.41781874039938,1449233,6.339794912205284,EXAFEL,162.26052557219555,1000.0,10.0,exafel_f018,9.999980926513672,68.64962489772756,4,97,1,0.3408853441069936,9.99713134765625,7830,68.39364520429064,ok,,15125.8369140625
cuszp3,1,9.999980926513672,68.65052689197415,1,134.98825,1485264,6.185997910135841,EXAFEL,132.86442,1000.0,10.0,exafel_f018,9.999980926513672,68.64962489772756,4,97,1,0.3408853441069936,9.99713134765625,7830,68.39364520429064,ok,,15125.8369140625
roibin_b1,1,999.9398193359375,34.821440725354265,1,88.127689,53936,170.34707801839218,EXAFEL,91.468623,1000.0,10.0,exafel_f019,999.9398193359375,34.82726197904368,4,38,1,0.134003204235163,9.999992370605469,3078,68.79469971127472,ok,,15928.9931640625
roibin_b2,n/a,9417.7744140625,34.77849727283345,2,110.94282,15920,577.1256281407035,EXAFEL,101.09859,1000.0,10.0,exafel_f019,9417.7744140625,34.78431854949086,4,38,1,0.134003204235163,9.999992370605469,3078,68.79469971127472,ok,,15928.9931640625
cuszhi,1,10.0,68.81444269511418,1,26.790688994573536,1406575,6.532065478200594,EXAFEL,28.2278916580642,1000.0,10.0,exafel_f019,10.0,68.8143147357122,4,38,1,0.134003204235163,9.9932861328125,3078,68.71998615584579,ok,spline/cr-first/cr,15928.9931640625
pfpl,1,10.0,68.87506958377543,1,174.06486814186118,1607971,5.713933895573987,EXAFEL,160.8966096945923,1000.0,10.0,exafel_f019,10.0,68.87496088423241,4,38,1,0.134003204235163,9.999992370605469,3078,68.79469971127472,ok,,15928.9931640625
cuszp3,1,10.0,68.87506958377543,1,137.18107,1644592,5.5866987070349365,EXAFEL,128.52283,1000.0,10.0,exafel_f019,10.0,68.87496088423241,4,38,1,0.134003204235163,9.999992370605469,3078,68.79469971127472,ok,,15928.9931640625
roibin_b1,1,999.9449462890625,32.3944483570948,1,93.646443,43936,209.11871813546978,EXAFEL,90.717223,1000.0,10.0,exafel_f020,999.9449462890625,32.39766369231507,4,21,1,0.07405440234048481,9.994003295898438,1701,64.46496398025991,ok,,9667.5576171875
roibin_b2,n/a,3518.78662109375,32.37372286532342,2,120.18418,13712,670.0583430571762,EXAFEL,96.478492,1000.0,10.0,exafel_f020,3518.78662109375,32.37693821005608,4,21,1,0.07405440234048481,9.994003295898438,1701,64.46496398025991,ok,,9667.5576171875
cuszhi,1,10.0,64.47579577075832,1,27.045371254814633,1360009,6.755719998911772,EXAFEL,28.697651174412794,1000.0,10.0,exafel_f020,10.0,64.47576985919555,4,21,1,0.07405440234048481,9.997589111328125,1701,64.44094596468454,ok,spline/cr-first/cr,9667.5576171875
pfpl,1,10.0,64.59180251192811,1,178.55721393034827,1557726,5.898238843031445,EXAFEL,160.3574420552918,1000.0,10.0,exafel_f020,10.0,64.59170719836986,4,21,1,0.07405440234048481,9.994003295898438,1701,64.46496398025991,ok,,9667.5576171875
cuszp3,1,10.0,64.59180251192811,1,133.29619,1599536,5.744065779075932,EXAFEL,132.92593,1000.0,10.0,exafel_f020,10.0,64.59170719836986,4,21,1,0.07405440234048481,9.994003295898438,1701,64.46496398025991,ok,,9667.5576171875
roibin_b1,1,999.58740234375,35.76544873045879,1,94.947091,62176,147.77148739063304,EXAFEL,87.965688,1000.0,10.0,exafel_f021,999.58740234375,35.7864537614754,4,138,1,0.4827249930342714,9.99908447265625,11088,68.9098161036163,ok,,16104.75
roibin_b2,n/a,3967.38818359375,35.72585506539521,2,113.75595,26528,346.3449939686369,EXAFEL,100.39161,1000.0,10.0,exafel_f021,3967.38818359375,35.74686018909715,4,138,1,0.4827249930342714,9.99908447265625,11088,68.9098161036163,ok,,16104.75
cuszhi,1,10.0,68.90550251231885,1,26.42089553097205,1390296,6.608549546283669,EXAFEL,28.423501460179182,1000.0,10.0,exafel_f021,10.0,68.90561128180123,4,138,1,0.4827249930342714,9.998809814453125,11088,68.92809327466566,ok,spline/cr-first/cr,16104.75
pfpl,1,10.0,68.99138802038783,1,171.92814371257484,1588146,5.785261556557143,EXAFEL,161.75774647887323,1000.0,10.0,exafel_f021,10.0,68.99099054928628,4,138,1,0.4827249930342714,9.99908447265625,11088,68.9098161036163,ok,,16104.75
cuszp3,1,10.0,68.99138802038783,1,136.46388,1629296,5.63914721450246,EXAFEL,132.9875,1000.0,10.0,exafel_f021,10.0,68.99099054928628,4,138,1,0.4827249930342714,9.99908447265625,11088,68.9098161036163,ok,,16104.75
roibin_b1,1,999.723876953125,35.857299232272226,1,95.230517,41264,222.65994571539358,EXAFEL,90.918301,1000.0,10.0,exafel_f022,999.723876953125,35.85959487863248,4,15,1,0.05289600167177487,9.994632720947266,1215,66.03641317200135,ok,,11589.408203125
